"","Nstates","Tstates","tpurity","Ncount","Tcount","log.ratios","state","hiddenstate","hiddenNstate","hiddenTstate","consistance"
"33",1,2,0.9,5,14,0.963174317773006,3,2,1,1,FALSE
"34",2,2,0.9,21,15,-0.297251523467932,8,2,1,1,FALSE
"35",3,2,0.9,35,19,-0.530056985693878,13,2,1,1,FALSE
"36",2,2,0.9,16,20,0.20294084399669,8,2,1,1,FALSE
"37",3,2,0.9,35,20,-0.487295126355797,13,2,1,1,FALSE
"38",1,2,0.9,10,16,0.431782416425538,3,2,1,1,FALSE
"39",3,2,0.9,24,12,-0.597837000755621,13,12,3,1,FALSE
"40",1,1,0.9,8,6,-0.25489224962879,2,12,3,1,FALSE
"41",2,1,0.9,18,9,-0.597837000755621,7,12,3,1,FALSE
"42",3,1,0.9,27,6,-1.20397280432594,12,12,3,1,TRUE
"43",1,1,0.9,17,10,-0.462969602588356,2,12,3,1,FALSE
"44",3,1,0.9,27,8,-1.00330210886378,12,12,3,1,TRUE
"45",1,1,0.9,16,4,-1.1239300966524,2,12,3,1,FALSE
"46",1,1,0.9,11,8,-0.281639757995818,2,12,3,1,FALSE
"47",2,1,0.9,21,4,-1.30405626288292,7,12,3,1,FALSE
"48",3,1,0.9,20,4,-1.27296567581289,12,12,3,1,TRUE
"49",2,1,0.9,17,9,-0.55083095837969,7,12,3,1,FALSE
"50",3,1,0.9,33,12,-0.850332764082358,12,12,3,1,TRUE
"51",1,1,0.9,11,7,-0.396415272588246,2,12,3,1,FALSE
"52",3,1,0.9,32,12,-0.826678573184468,12,12,3,1,TRUE
"53",1,1,0.9,11,9,-0.178691788743376,2,12,3,1,FALSE
"54",2,1,0.9,19,7,-0.840304824896233,7,12,3,1,FALSE
"55",3,1,0.9,37,5,-1.50678375837402,12,12,3,1,TRUE
"56",2,1,0.9,21,10,-0.637577329405135,7,12,3,1,FALSE
"57",3,1,0.9,34,8,-1.16550652349814,12,12,3,1,TRUE
"58",1,1,0.9,8,8,0,2,12,3,1,FALSE
"59",3,1,0.9,27,6,-1.20397280432594,12,12,3,1,TRUE
"60",1,1,0.9,11,9,-0.178691788743376,2,12,3,1,FALSE
"61",2,1,0.9,19,8,-0.736164565643636,7,12,3,1,FALSE
"62",3,1,0.9,28,10,-0.864104978703585,12,12,3,1,TRUE
"63",2,1,0.9,16,6,-0.826678573184468,7,12,3,1,FALSE
"64",1,1,0.9,9,9,0,2,12,3,1,FALSE
"65",3,1,0.9,33,4,-1.56498614986327,12,12,3,1,TRUE
"66",1,1,0.9,11,7,-0.396415272588246,2,12,3,1,FALSE
"67",2,1,0.9,29,10,-0.890757429868991,7,12,3,1,FALSE
"68",1,1,0.9,10,13,0.2390169004705,2,12,3,1,FALSE
"69",2,1,0.9,20,4,-1.27296567581289,7,12,3,1,FALSE
"70",1,1,0.9,12,10,-0.162518929497775,2,12,3,1,FALSE
"71",3,1,0.9,25,6,-1.15201306539522,12,12,3,1,TRUE
"72",2,1,0.9,21,6,-1.02961941718116,7,12,3,1,FALSE
"73",2,1,0.9,25,14,-0.504181081047322,7,12,3,1,FALSE
"74",1,1,0.9,6,9,0.371563556432483,2,12,3,1,FALSE
"75",3,1,0.9,25,9,-0.858021823750179,12,12,3,1,TRUE
"76",1,1,0.9,11,13,0.151549898127201,2,12,3,1,FALSE
"77",2,1,0.9,19,8,-0.736164565643636,7,12,3,1,FALSE
"78",2,1,0.9,18,9,-0.597837000755621,7,12,3,1,FALSE
"79",2,1,0.9,23,6,-1.09427388706951,7,12,3,1,FALSE
"80",1,1,0.9,9,8,-0.105360515657826,2,12,3,1,FALSE
"81",2,1,0.9,28,7,-1.1239300966524,7,12,3,1,FALSE
"82",3,1,0.9,28,11,-0.790602516710658,12,12,3,1,TRUE
"83",2,1,0.9,22,6,-1.06289420606603,7,12,3,1,FALSE
"84",2,1,0.9,13,6,-0.662841831064616,7,12,3,1,FALSE
"85",1,1,0.9,12,7,-0.470003629245736,2,12,3,1,FALSE
"86",2,1,0.9,19,8,-0.736164565643636,7,12,3,1,FALSE
"87",1,1,0.9,8,14,0.51581316527703,2,12,3,1,FALSE
"88",2,1,0.9,28,6,-1.228070355905,7,12,3,1,FALSE
"89",3,1,0.9,38,7,-1.32505073587917,12,12,3,1,TRUE
"90",1,1,0.9,11,6,-0.526093095896779,2,12,3,1,FALSE
"91",3,1,0.9,38,14,-0.840304824896233,12,12,3,1,TRUE
"92",2,1,0.9,16,7,-0.705725962766806,7,12,3,1,FALSE
"93",3,1,0.9,27,10,-0.836248024200619,12,12,3,1,TRUE
"94",1,1,0.9,9,11,0.182321556793955,2,12,3,1,FALSE
"95",3,1,0.9,29,7,-1.14809234593148,12,12,3,1,TRUE
"96",2,1,0.9,21,6,-1.02961941718116,7,12,3,1,FALSE
"97",3,1,0.9,25,5,-1.27296567581289,12,12,3,1,TRUE
"98",1,4,0.7,13,35,0.781439787705624,5,3,1,2,FALSE
"99",2,4,0.7,16,25,0.331997956226292,10,3,1,2,FALSE
"100",3,4,0.7,21,27,0.182321556793955,15,3,1,2,FALSE
"101",2,4,0.7,19,28,0.286365416567034,10,3,1,2,FALSE
"102",3,4,0.7,25,28,0.0806579030174543,15,3,1,2,FALSE
"103",2,4,0.7,24,24,0,10,3,1,2,FALSE
"104",3,4,0.7,40,38,-0.035627177643151,15,3,1,2,FALSE
"105",1,4,0.7,12,35,0.8508629265517,5,3,1,2,FALSE
"106",1,4,0.7,10,41,1.15373158788919,5,3,1,2,FALSE
"107",3,4,0.7,19,26,0.229439479771024,15,3,1,2,FALSE
"108",1,4,0.7,10,45,1.23837423104327,5,3,1,2,FALSE
"109",1,4,0.7,9,27,0.8754687373539,5,3,1,2,FALSE
"110",2,4,0.7,21,37,0.42744401482694,10,3,1,2,FALSE
"111",1,4,0.7,16,33,0.556037966587539,5,3,1,2,FALSE
"112",2,4,0.7,34,31,-0.0637545148253625,10,3,1,2,FALSE
"113",3,4,0.7,24,37,0.321479452035072,15,3,1,2,FALSE
"114",1,4,0.7,18,36,0.53062825106217,5,3,1,2,FALSE
"115",3,4,0.7,36,38,0.0381517659643761,15,3,1,2,FALSE
"116",1,4,0.7,15,35,0.659245628884264,5,3,1,2,FALSE
"117",3,4,0.7,30,36,0.131028262406404,15,3,1,2,FALSE
"118",1,4,0.7,10,35,1.01160091167848,5,3,1,2,FALSE
"119",2,4,0.7,20,32,0.350656871613169,10,3,1,2,FALSE
"120",1,4,0.7,18,23,0.177681177237452,5,3,1,2,FALSE
"121",3,4,0.7,25,31,0.155292884406035,15,3,1,2,FALSE
"122",1,4,0.7,15,38,0.729157618082978,5,3,1,2,FALSE
"123",3,4,0.7,32,29,-0.0678774224030858,15,3,1,2,FALSE
"124",2,4,0.7,10,34,0.985816794522765,10,3,1,2,FALSE
"125",3,4,0.7,39,30,-0.176186568226439,15,3,1,2,FALSE
"126",2,4,0.7,21,44,0.569094531889966,10,3,1,2,FALSE
"127",1,4,0.7,11,33,0.8754687373539,5,3,1,2,FALSE
"128",1,4,0.7,12,30,0.717839793150317,5,3,1,2,FALSE
"129",2,4,0.7,23,31,0.217912501896657,10,3,1,2,FALSE
"130",3,4,0.7,25,34,0.224742272677907,15,3,1,2,FALSE
"131",2,4,0.7,23,27,0.114880275998422,10,3,1,2,FALSE
"132",3,4,0.7,25,43,0.408128225527648,15,3,1,2,FALSE
"133",2,4,0.7,17,30,0.428721970272432,10,3,1,2,FALSE
"134",3,4,0.7,30,22,-0.206614249362999,15,3,1,2,FALSE
"135",1,4,0.7,12,36,0.8754687373539,5,3,1,2,FALSE
"136",3,4,0.7,26,32,0.149745386359342,15,3,1,2,FALSE
"137",2,4,0.7,20,26,0.19062035960865,10,3,1,2,FALSE
"138",1,4,0.7,9,37,1.15618214048959,5,3,1,2,FALSE
"139",3,4,0.7,48,33,-0.246860077931526,15,3,1,2,FALSE
"140",2,4,0.7,18,36,0.53062825106217,10,3,1,2,FALSE
"141",1,4,0.7,9,34,1.07992015565596,5,3,1,2,FALSE
"142",3,4,0.7,20,24,0.131028262406404,15,3,1,2,FALSE
"143",3,4,0.7,32,22,-0.246860077931526,15,3,1,2,FALSE
"144",1,4,0.7,14,32,0.641853886172395,5,3,1,2,FALSE
"145",2,4,0.7,22,26,0.119801199812621,10,3,1,2,FALSE
"146",1,4,0.7,9,37,1.15618214048959,5,3,1,2,FALSE
"147",2,4,0.7,21,32,0.312374685042152,10,3,1,2,FALSE
"148",1,4,0.7,13,31,0.67764299402398,5,3,1,2,FALSE
"149",2,4,0.7,17,41,0.687247458432757,10,3,1,2,FALSE
"150",3,4,0.7,31,35,0.0864735980038269,15,3,1,2,FALSE
"151",2,4,0.7,22,27,0.147635998806065,10,3,1,2,FALSE
"152",3,4,0.7,25,29,0.106160195828391,15,3,1,2,FALSE
"153",1,4,0.7,10,37,1.06125650212434,5,3,1,2,FALSE
"154",2,4,0.7,20,24,0.131028262406404,10,3,1,2,FALSE
"155",3,4,0.7,29,34,0.113944259349218,15,3,1,2,FALSE
"156",1,4,0.7,9,40,1.22703807725693,5,3,1,2,FALSE
"157",3,4,0.7,33,30,-0.0657513775627804,15,3,1,2,FALSE
"158",2,4,0.7,25,36,0.268499253035007,10,3,1,2,FALSE
"159",3,4,0.7,35,27,-0.174353387144778,15,3,1,2,FALSE
"160",3,4,0.7,25,33,0.202124184090134,15,3,1,2,FALSE
"161",2,4,0.7,19,33,0.41593640797546,10,3,1,2,FALSE
"162",1,4,0.7,6,30,1.33500106673234,5,3,1,2,FALSE
"163",2,4,0.7,27,30,0.0749013081731177,10,3,1,2,FALSE
"164",1,4,0.7,7,39,1.43508452528932,5,3,1,2,FALSE
"165",3,4,0.7,30,37,0.151289447546226,15,3,1,2,FALSE
"166",2,4,0.7,23,34,0.288768438664002,10,3,1,2,FALSE
"167",1,4,0.7,10,35,1.01160091167848,5,3,1,2,FALSE
"168",2,4,0.7,24,32,0.209720530982069,10,3,1,2,FALSE
"169",1,4,0.7,10,34,0.985816794522765,5,3,1,2,FALSE
"170",2,4,0.7,20,31,0.325700139639302,10,3,1,2,FALSE
"171",3,4,0.7,31,29,-0.0462128431551317,15,3,1,2,FALSE
"172",1,4,0.7,14,30,0.587786664902119,5,3,1,2,FALSE
"173",3,4,0.7,27,35,0.188475422368333,15,3,1,2,FALSE
"174",2,4,0.7,14,36,0.741937344729377,10,3,1,2,FALSE
"175",1,4,0.7,13,40,0.897656652329262,5,3,1,2,FALSE
"176",3,4,0.7,27,32,0.121889817609037,15,3,1,2,FALSE
"177",2,4,0.7,19,30,0.340224586239763,10,3,1,2,FALSE
"178",3,4,0.7,25,36,0.268499253035007,15,3,1,2,FALSE
"179",2,4,0.7,17,38,0.623103336827019,10,3,1,2,FALSE
"180",1,4,0.7,11,43,1.11066062718428,5,3,1,2,FALSE
"181",3,4,0.7,25,38,0.31042155942127,15,3,1,2,FALSE
"182",2,4,0.7,20,30,0.300104592450338,10,3,1,2,FALSE
"183",3,4,0.7,31,35,0.0864735980038269,15,3,1,2,FALSE
"184",1,4,0.7,11,28,0.733241637761823,5,3,1,2,FALSE
"185",2,4,0.7,14,36,0.741937344729377,10,3,1,2,FALSE
"186",1,4,0.7,10,31,0.904218150639886,5,3,1,2,FALSE
"187",3,4,0.7,32,34,0.0428199971829281,15,3,1,2,FALSE
"188",1,4,0.7,5,32,1.56444054650336,5,3,1,2,FALSE
"189",2,4,0.7,19,38,0.53062825106217,10,3,1,2,FALSE
"190",1,4,0.7,5,30,1.50407739677627,5,3,1,2,FALSE
"191",3,4,0.7,30,33,0.0676586484738149,15,3,1,2,FALSE
"192",2,4,0.7,18,25,0.240765152664029,10,3,1,2,FALSE
"193",2,4,0.7,16,22,0.233093882167378,10,3,1,2,FALSE
"194",1,4,0.7,9,29,0.93826963859293,5,3,1,2,FALSE
"195",1,4,0.7,12,40,0.968250470804866,5,3,1,2,FALSE
"196",3,4,0.7,32,30,-0.0447358938413914,15,3,1,2,FALSE
"197",1,4,0.7,7,33,1.28093384546206,5,3,1,2,FALSE
"198",2,4,0.7,17,29,0.401535829968275,10,3,1,2,FALSE
"199",1,4,0.7,10,36,1.03673688495002,5,3,1,2,FALSE
"200",1,4,0.7,6,42,1.64865862558738,5,3,1,2,FALSE
"201",1,4,0.7,9,36,1.1314021114911,5,3,1,2,FALSE
"202",3,4,0.7,20,36,0.444685821261446,15,3,1,2,FALSE
"203",2,4,0.7,19,27,0.258307463771877,10,3,1,2,FALSE
"204",1,4,0.7,8,25,0.911278190050611,5,3,1,2,FALSE
"205",2,4,0.7,15,30,0.53062825106217,10,3,1,2,FALSE
"206",1,4,0.7,13,41,0.919362930911125,5,3,1,2,FALSE
"207",3,4,0.7,27,30,0.0749013081731177,15,3,1,2,FALSE
"208",2,4,0.7,15,17,0.0892311337279426,10,3,1,2,FALSE
"209",1,4,0.7,6,27,1.23837423104327,5,3,1,2,FALSE
"210",2,4,0.7,32,30,-0.0447358938413914,10,3,1,2,FALSE
"211",1,4,0.7,15,34,0.634811603546982,5,3,1,2,FALSE
"212",3,4,0.7,32,28,-0.0915671935254905,15,3,1,2,FALSE
"213",2,4,0.7,22,29,0.201083833249478,10,3,1,2,FALSE
"214",3,4,0.7,20,51,0.734768855250765,15,3,1,2,FALSE
"215",1,4,0.7,12,31,0.745897745945474,5,3,1,2,FALSE
"216",2,4,0.7,23,31,0.217912501896657,10,3,1,2,FALSE
"217",3,4,0.7,36,28,-0.169076330043934,15,3,1,2,FALSE
"218",1,4,0.7,10,35,1.01160091167848,5,3,1,2,FALSE
"219",2,4,0.7,7,37,1.38629436111989,10,3,1,2,FALSE
"220",1,4,0.7,11,29,0.763351439233194,5,3,1,2,FALSE
"221",3,4,0.7,25,48,0.497132296633988,15,3,1,2,FALSE
"222",2,4,0.7,25,31,0.155292884406035,10,3,1,2,FALSE
"223",1,4,0.7,9,23,0.736632292499684,5,3,1,2,FALSE
"224",3,4,0.7,21,31,0.287682072451781,15,3,1,2,FALSE
"225",2,4,0.7,27,30,0.0749013081731177,10,3,1,2,FALSE
"226",1,4,0.7,15,30,0.53062825106217,5,3,1,2,FALSE
"227",3,4,0.7,29,28,-0.0244340253372821,15,3,1,2,FALSE
"228",2,4,0.7,19,29,0.313657558855042,10,3,1,2,FALSE
"229",3,4,0.7,34,38,0.0791373205587238,15,3,1,2,FALSE
"230",2,4,0.7,25,43,0.408128225527648,10,3,1,2,FALSE
"231",3,4,0.7,34,38,0.0791373205587238,15,3,1,2,FALSE
"232",2,4,0.7,23,32,0.242093300093872,10,3,1,2,FALSE
"233",3,4,0.7,28,46,0.371563556432483,15,3,1,2,FALSE
"234",2,4,0.7,14,40,0.832909122935104,10,3,1,2,FALSE
"235",3,4,0.7,24,43,0.440939496301824,15,3,1,2,FALSE
"236",3,4,0.7,27,30,0.0749013081731177,15,3,1,2,FALSE
"237",2,4,0.7,19,32,0.39133059717326,10,3,1,2,FALSE
"238",1,4,0.7,20,36,0.444685821261446,5,3,1,2,FALSE
"239",3,4,0.7,25,39,0.330741561912228,15,3,1,2,FALSE
"240",2,4,0.7,24,36,0.300104592450338,10,3,1,2,FALSE
"241",1,4,0.7,9,41,1.24958331557799,5,3,1,2,FALSE
"242",3,4,0.7,45,31,-0.245616407166268,15,3,1,2,FALSE
"243",3,4,0.7,28,24,-0.105360515657826,15,3,1,2,FALSE
"244",2,4,0.7,11,37,0.976273436475865,10,3,1,2,FALSE
"245",1,4,0.7,6,37,1.52967294396524,5,3,1,2,FALSE
"246",3,4,0.7,32,32,0,15,3,1,2,FALSE
"247",2,4,0.7,28,29,0.0246926125903714,10,3,1,2,FALSE
"248",3,4,0.7,32,36,0.083881483980702,15,3,1,2,FALSE
"249",2,4,0.7,19,19,0,10,3,1,2,FALSE
"250",1,4,0.7,5,36,1.6752256529721,5,3,1,2,FALSE
"251",2,4,0.7,26,29,0.077673038318218,10,3,1,2,FALSE
"252",2,4,0.7,24,37,0.321479452035072,10,3,1,2,FALSE
"253",1,4,0.7,11,34,0.901638455087285,5,3,1,2,FALSE
"254",2,4,0.7,26,24,-0.055350095083165,10,3,1,2,FALSE
"255",1,4,0.7,10,35,1.01160091167848,5,3,1,2,FALSE
"256",2,4,0.7,17,40,0.666319938326801,10,3,1,2,FALSE
"257",1,4,0.7,10,31,0.904218150639886,5,3,1,2,FALSE
"258",2,4,0.7,17,33,0.506108633887852,10,3,1,2,FALSE
"259",3,4,0.7,30,39,0.19062035960865,15,3,1,2,FALSE
"260",1,4,0.7,9,39,1.20397280432594,5,3,1,2,FALSE
"261",3,4,0.7,29,31,0.0471467784257019,15,3,1,2,FALSE
"262",2,4,0.7,22,27,0.147635998806065,10,3,1,2,FALSE
"263",1,4,0.7,11,30,0.792581077548132,5,3,1,2,FALSE
"264",2,4,0.7,11,42,1.08947980510484,10,3,1,2,FALSE
"265",1,4,0.7,7,26,1.06471073699243,5,3,1,2,FALSE
"266",3,4,0.7,29,39,0.216223108469636,15,3,1,2,FALSE
"267",1,4,0.7,14,31,0.615185639090233,5,3,1,2,FALSE
"268",3,4,0.7,13,40,0.897656652329262,15,3,1,2,FALSE
"269",2,4,0.7,15,36,0.683096844706444,10,3,1,2,FALSE
"270",1,4,0.7,9,31,0.997358554962937,5,3,1,2,FALSE
"271",3,4,0.7,38,36,-0.0375379193190652,15,3,1,2,FALSE
"272",2,4,0.7,23,31,0.217912501896657,10,3,1,2,FALSE
"273",1,4,0.7,9,31,0.997358554962937,5,3,1,2,FALSE
"274",3,4,0.7,33,31,-0.0433504408736137,15,3,1,2,FALSE
"275",2,4,0.7,15,42,0.815364813284194,10,3,1,2,FALSE
"276",3,4,0.7,23,31,0.217912501896657,15,3,1,2,FALSE
"277",1,4,0.7,7,35,1.33500106673234,5,3,1,2,FALSE
"278",2,4,0.7,24,38,0.342406972141027,10,3,1,2,FALSE
"279",1,4,0.7,7,35,1.33500106673234,5,3,1,2,FALSE
"280",3,4,0.7,25,40,0.350656871613169,15,3,1,2,FALSE
"281",3,4,0.7,30,40,0.209720530982069,15,3,1,2,FALSE
"282",1,4,0.7,17,29,0.401535829968275,5,3,1,2,FALSE
"283",3,4,0.7,30,42,0.246860077931526,15,3,1,2,FALSE
"284",2,4,0.7,26,38,0.279960026357871,10,3,1,2,FALSE
"285",2,4,0.7,18,36,0.53062825106217,10,3,1,2,FALSE
"286",1,4,0.7,9,24,0.773189888233481,5,3,1,2,FALSE
"287",3,4,0.7,19,24,0.169076330043934,15,3,1,2,FALSE
"288",2,4,0.7,19,40,0.573058858191876,10,3,1,2,FALSE
"289",1,4,0.7,13,36,0.80578881671591,5,3,1,2,FALSE
"290",2,4,0.7,23,38,0.376051222901871,10,3,1,2,FALSE
"291",3,4,0.7,26,33,0.172659645882218,15,3,1,2,FALSE
"292",2,4,0.7,24,39,0.362905493689368,10,3,1,2,FALSE
"293",3,4,0.7,29,21,-0.214559807622818,15,3,1,2,FALSE
"294",2,4,0.7,21,38,0.448950220047903,10,3,1,2,FALSE
"295",1,4,0.7,8,29,1.04292338280752,5,3,1,2,FALSE
"296",2,4,0.7,11,31,0.82098055206983,10,3,1,2,FALSE
"297",3,4,0.7,34,40,0.116474990996368,15,3,1,2,FALSE
"298",2,4,0.7,22,36,0.368423836427815,10,3,1,2,FALSE
"299",1,4,0.7,12,37,0.899483613557774,5,3,1,2,FALSE
"300",3,4,0.7,23,35,0.311313676985058,15,3,1,2,FALSE
"301",1,4,0.7,16,32,0.53062825106217,5,3,1,2,FALSE
"302",3,4,0.7,36,31,-0.102278849120418,15,3,1,2,FALSE
"303",2,4,0.7,19,40,0.573058858191876,10,3,1,2,FALSE
"304",3,4,0.7,25,32,0.17898265552844,15,3,1,2,FALSE
"305",3,4,0.7,36,31,-0.102278849120418,15,3,1,2,FALSE
"306",2,4,0.7,24,40,0.382992252256106,10,3,1,2,FALSE
"307",2,4,0.7,22,30,0.226773319364789,10,3,1,2,FALSE
"308",3,4,0.7,36,27,-0.192371892647456,15,3,1,2,FALSE
"309",1,4,0.7,13,37,0.829559036049822,5,3,1,2,FALSE
"310",2,4,0.7,22,32,0.276253376628158,10,3,1,2,FALSE
"311",1,4,0.7,13,34,0.756483055731756,5,3,1,2,FALSE
"312",1,4,0.7,17,34,0.53062825106217,5,3,1,2,FALSE
"313",1,4,0.7,7,38,1.41098697371026,5,3,1,2,FALSE
"314",3,4,0.7,23,28,0.141650517063027,15,3,1,2,FALSE
"315",1,4,0.7,7,34,1.30833281965018,5,3,1,2,FALSE
"316",2,4,0.7,26,36,0.238411023444998,10,3,1,2,FALSE
"317",3,4,0.7,35,31,-0.083381608939051,15,3,1,2,FALSE
"318",1,4,0.7,12,40,0.968250470804866,5,3,1,2,FALSE
"319",2,4,0.7,22,30,0.226773319364789,10,3,1,2,FALSE
"320",3,4,0.7,33,28,-0.112117298120706,15,3,1,2,FALSE
"321",1,4,0.7,6,40,1.6027489242833,5,3,1,2,FALSE
"322",3,4,0.7,27,42,0.328504066972036,15,3,1,2,FALSE
"323",3,4,0.7,35,35,0,15,3,1,2,FALSE
"324",1,4,0.7,13,45,1.00176246267819,5,3,1,2,FALSE
"325",1,4,0.7,10,36,1.03673688495002,5,3,1,2,FALSE
"326",3,4,0.7,28,29,0.0246926125903714,15,3,1,2,FALSE
"327",2,4,0.7,16,34,0.580817995586026,10,3,1,2,FALSE
"328",3,4,0.7,28,32,0.0953101798043249,15,3,1,2,FALSE
"329",2,4,0.7,19,24,0.169076330043934,10,3,1,2,FALSE
"330",3,4,0.7,28,27,-0.0253178079842899,15,3,1,2,FALSE
"331",2,4,0.7,12,29,0.688971809149465,10,3,1,2,FALSE
"332",2,4,0.7,25,25,0,10,3,1,2,FALSE
"333",3,4,0.7,26,34,0.195060582571384,15,3,1,2,FALSE
"334",1,4,0.7,8,36,1.23837423104327,5,3,1,2,FALSE
"335",3,4,0.7,28,31,0.0723206615796261,15,3,1,2,FALSE
"336",2,4,0.7,26,33,0.172659645882218,10,3,1,2,FALSE
"337",3,4,0.7,23,40,0.416992613279232,15,3,1,2,FALSE
"338",1,4,0.7,9,44,1.3143208614948,5,3,1,2,FALSE
"339",3,4,0.7,32,29,-0.0678774224030858,15,3,1,2,FALSE
"340",2,4,0.7,20,43,0.590560591784844,10,3,1,2,FALSE
"341",1,4,0.7,12,46,1.09304124361865,5,3,1,2,FALSE
"342",2,4,0.7,21,32,0.312374685042152,10,3,1,2,FALSE
"343",1,4,0.7,12,27,0.628608659422374,5,3,1,2,FALSE
"344",2,4,0.7,19,28,0.286365416567034,10,3,1,2,FALSE
"345",3,4,0.7,30,35,0.110348057168865,15,3,1,2,FALSE
"346",3,4,0.7,33,36,0.06169356900534,15,3,1,2,FALSE
"347",1,4,0.7,14,24,0.405465108108164,5,3,1,2,FALSE
"348",2,4,0.7,16,46,0.838329190404443,10,3,1,2,FALSE
"349",3,4,0.7,26,31,0.126293725324292,15,3,1,2,FALSE
"350",2,4,0.7,27,43,0.346998649608201,10,3,1,2,FALSE
"351",3,4,0.7,34,36,0.0403512955235672,15,3,1,2,FALSE
"352",1,4,0.7,6,32,1.39459316393459,5,3,1,2,FALSE
"353",3,4,0.7,26,23,-0.0842180790840171,15,3,1,2,FALSE
"354",1,4,0.7,12,33,0.799756915618204,5,3,1,2,FALSE
"355",3,4,0.7,29,33,0.0921704597996571,15,3,1,2,FALSE
"356",1,4,0.7,8,38,1.28785428830664,5,3,1,2,FALSE
"357",1,4,0.7,17,42,0.707745979981098,5,3,1,2,FALSE
"358",2,4,0.7,24,20,-0.124052648669979,10,3,1,2,FALSE
"359",1,4,0.7,12,29,0.688971809149465,5,3,1,2,FALSE
"360",2,4,0.7,21,34,0.360002734031407,10,3,1,2,FALSE
"361",3,4,0.7,34,36,0.0403512955235672,15,3,1,2,FALSE
"362",1,4,0.7,16,35,0.60499879378324,5,3,1,2,FALSE
"363",2,4,0.7,17,33,0.506108633887852,10,3,1,2,FALSE
"364",1,4,0.7,9,39,1.20397280432594,5,3,1,2,FALSE
"365",3,4,0.7,24,24,0,15,3,1,2,FALSE
"366",1,4,0.7,13,26,0.53062825106217,5,3,1,2,FALSE
"367",3,4,0.7,34,26,-0.179971379449001,15,3,1,2,FALSE
"368",2,4,0.7,22,44,0.53062825106217,10,3,1,2,FALSE
"369",1,4,0.7,12,29,0.688971809149465,5,3,1,2,FALSE
"370",1,4,0.7,9,40,1.22703807725693,5,3,1,2,FALSE
"371",3,4,0.7,38,31,-0.138052877343368,15,3,1,2,FALSE
"372",3,4,0.7,35,39,0.0769610411361282,15,3,1,2,FALSE
"373",1,4,0.7,9,27,0.8754687373539,5,3,1,2,FALSE
"374",3,4,0.7,32,32,0,15,3,1,2,FALSE
"375",1,4,0.7,15,33,0.609765571620894,5,3,1,2,FALSE
"376",3,4,0.7,26,30,0.102278849120418,15,3,1,2,FALSE
"377",2,4,0.7,11,30,0.792581077548132,10,3,1,2,FALSE
"378",2,4,0.7,21,33,0.336472236621213,10,3,1,2,FALSE
"379",3,4,0.7,30,44,0.282669530628237,15,3,1,2,FALSE
"380",2,4,0.7,29,25,-0.101536419219423,10,3,1,2,FALSE
"381",3,4,0.7,30,27,-0.0725706928348355,15,3,1,2,FALSE
"382",2,4,0.7,16,32,0.53062825106217,10,3,1,2,FALSE
